"" "I" "i" "C" "c" "P" "p" "M" "m"
"1" "5" "4" "1" "1" "3" "3" "4" "4"
"2" "3" "3" "1" "1" "4" "4" "3" "3"
"3" "3" "2" "1" "0" "3" "3" "3" "3"
"4" "3" "3" "1" "1" "4" "4" "3" "3"
"5" "2" "3" "1" "1" "3" "3" "3" "3"
"6" "2" "3" "1" "1" "2" "3" "3" "3"
"7" "2" "3" "1" "1" "2" "2" "3" "3"
"8" "2" "3" "1" "1" "1" "2" "3" "3"
"9" "1" "3" "1" "1" "2" "2" "3" "3"
"10" "1" "3" "1" "1" "2" "2" "3" "3"
"11" "2" "3" "1" "1" "2" "3" "3" "3"
"12" "0" "0" "0" "0" "0" "0" "8" "8"
"13" "2" "1" "0" "0" "2" "2" "3" "3"
"14" "2" "1" "0" "0" "3" "2" "3" "3"
"15" "1" "1" "0" "0" "2" "1" "3" "3"
"16" "1" "1" "0" "0" "2" "1" "3" "3"
"17" "1" "1" "0" "0" "2" "1" "3" "3"
"18" "1" "1" "0" "0" "2" "1" "3" "3"
"19" "1" "1" "0" "0" "2" "1" "3" "3"
"20" "1" "1" "0" "0" "2" "1" "3" "3"
"21" "1" "1" "0" "0" "1" "1" "3" "3"
"22" "1" "1" "0" "0" "1" "1" "3" "3"
"23" "1" "1" "0" "0" "1" "1" "3" "3"
"24" "1" "1" "0" "0" "1" "1" "3" "3"
"25" "1" "1" "0" "0" "0" "0" "3" "3"
"26" "1" "1" "0" "0" "0" "0" "3" "3"
"27" "1" "1" "0" "0" "0" "0" "3" "3"
"28" "1" "1" "0" "0" "0" "0" "3" "3"
"29" "1" "1" "0" "0" "0" "0" "3" "3"
"30" "1" "1" "0" "0" "1" "1" "3" "3"
"31" "1" "1" "0" "0" "1" "1" "3" "3"
"32" "1" "3" "1" "1" "4" "4" "3" "3"
"33" "3" "3" "1" "1" "4" "4" "2" "3"
"34" "3" "3" "1" "1" "4" "4" "2" "3"
"35" "3" "3" "1" "1" "4" "4" "2" "3"
"36" "3" "3" "1" "1" "4" "4" "2" "2"
"37" "3" "3" "1" "1" "4" "4" "3" "2"
"38" "3" "3" "1" "1" "4" "4" "1" "2"
"39" "3" "3" "1" "1" "4" "4" "1" "2"
"40" "3" "3" "1" "1" "3" "3" "1" "2"
"41" "3" "3" "1" "1" "3" "3" "1" "2"
"42" "3" "3" "1" "1" "3" "3" "1" "2"
"43" "3" "3" "1" "1" "4" "4" "1" "2"
"44" "3" "3" "1" "1" "3" "3" "1" "2"
"45" "3" "3" "1" "1" "3" "3" "1" "2"
"46" "3" "3" "1" "1" "4" "3" "1" "2"
"47" "3" "2" "1" "1" "3" "3" "1" "2"
"48" "3" "3" "1" "1" "3" "2" "1" "1"
"49" "3" "3" "1" "1" "3" "2" "1" "1"
"50" "3" "3" "1" "1" "3" "2" "1" "1"
"51" "3" "3" "1" "1" "3" "2" "1" "1"
"52" "3" "2" "1" "1" "4" "4" "1" "1"
"53" "3" "2" "1" "1" "4" "4" "1" "1"
"54" "1" "0" "1" "1" "3" "3" "0" "0"
"55" "3" "2" "1" "1" "3" "3" "2" "2"
"56" "2" "1" "1" "1" "4" "4" "1" "1"
"57" "2" "3" "1" "1" "3" "3" "3" "3"
"58" "0" "4" "1" "0" "3" "3" "3" "3"
"59" "0" "4" "0" "0" "3" "3" "3" "3"
"60" "0" "4" "0" "0" "3" "3" "3" "3"
"61" "0" "4" "1" "0" "3" "3" "3" "3"
"62" "0" "4" "0" "0" "3" "3" "3" "3"
"63" "0" "4" "0" "0" "3" "3" "3" "3"
"64" "0" "4" "0" "0" "3" "3" "3" "3"
"65" "0" "4" "0" "0" "3" "3" "3" "3"
"66" "0" "4" "0" "0" "3" "3" "3" "3"
